filename,total_words,english_only,danish_only,ambiguous,neither
output_CREATIVE PROMPTS_20250611_124709_1.txt,282,2,180,93,7
output_CREATIVE PROMPTS_20250611_124718_2.txt,250,0,148,102,0
output_CREATIVE PROMPTS_20250611_124727_3.txt,342,0,174,167,1
output_CREATIVE PROMPTS_20250611_124734_4.txt,207,1,116,89,1
output_CREATIVE PROMPTS_20250611_124741_5.txt,95,0,57,35,3
output_CREATIVE PROMPTS_20250611_124751_6.txt,237,3,121,111,2
output_CREATIVE PROMPTS_20250611_124800_7.txt,327,7,192,114,14
output_CREATIVE PROMPTS_20250611_124809_8.txt,218,0,130,87,1
output_CREATIVE PROMPTS_20250611_124817_9.txt,244,0,146,97,1
output_CREATIVE PROMPTS_20250611_124824_10.txt,208,1,124,80,3
output_CREATIVE PROMPTS_20250611_124831_11.txt,151,0,92,59,0
output_CREATIVE PROMPTS_20250611_124839_12.txt,234,0,137,96,1
output_CREATIVE PROMPTS_20250611_124849_13.txt,308,0,185,107,16
output_CREATIVE PROMPTS_20250611_124859_14.txt,406,0,251,155,0
output_CREATIVE PROMPTS_20250611_124907_15.txt,285,0,186,99,0
output_CREATIVE PROMPTS_20250611_124913_16.txt,81,2,35,36,8
output_CREATIVE PROMPTS_20250611_124924_17.txt,308,4,182,115,7
output_CREATIVE PROMPTS_20250611_124933_18.txt,333,0,211,119,3
output_CREATIVE PROMPTS_20250611_124941_19.txt,152,22,40,23,67
output_CREATIVE PROMPTS_20250611_124950_20.txt,254,0,152,102,0
output_CREATIVE PROMPTS_20250611_124957_21.txt,134,0,92,41,1
output_CREATIVE PROMPTS_20250611_125003_22.txt,163,0,100,63,0
output_CREATIVE PROMPTS_20250611_125011_23.txt,237,0,146,90,1
output_CREATIVE PROMPTS_20250611_125020_24.txt,258,2,153,97,6
output_CREATIVE PROMPTS_20250611_125027_25.txt,198,0,124,71,3
output_CREATIVE PROMPTS_20250611_125038_26.txt,311,0,208,96,7
output_CREATIVE PROMPTS_20250611_125047_27.txt,275,4,172,98,1
output_CREATIVE PROMPTS_20250611_125057_28.txt,279,0,160,110,9
output_CREATIVE PROMPTS_20250611_125104_29.txt,180,0,102,77,1
output_CREATIVE PROMPTS_20250611_125112_30.txt,255,0,163,90,2
output_CREATIVE PROMPTS_20250611_130351_1.txt,328,3,222,101,2
output_CREATIVE PROMPTS_20250611_130400_2.txt,310,0,173,137,0
output_CREATIVE PROMPTS_20250611_130409_3.txt,315,1,164,140,10
output_CREATIVE PROMPTS_20250611_130416_4.txt,173,0,113,59,1
output_CREATIVE PROMPTS_20250611_130422_5.txt,52,0,41,11,0
output_CREATIVE PROMPTS_20250611_130432_6.txt,303,5,167,129,2
output_CREATIVE PROMPTS_20250611_130441_7.txt,260,0,158,86,16
output_CREATIVE PROMPTS_20250611_130449_8.txt,224,0,140,83,1
output_CREATIVE PROMPTS_20250611_130457_9.txt,216,0,134,77,5
output_CREATIVE PROMPTS_20250611_130505_10.txt,210,0,134,75,1
output_CREATIVE PROMPTS_20250611_130511_11.txt,83,0,52,30,1
output_CREATIVE PROMPTS_20250611_130519_12.txt,258,0,143,114,1
output_CREATIVE PROMPTS_20250611_130529_13.txt,310,0,189,112,9
output_CREATIVE PROMPTS_20250611_130538_14.txt,353,0,219,134,0
output_CREATIVE PROMPTS_20250611_130547_15.txt,322,0,186,136,0
output_CREATIVE PROMPTS_20250611_130553_16.txt,63,0,27,32,4
output_CREATIVE PROMPTS_20250611_130604_17.txt,237,1,143,89,4
output_CREATIVE PROMPTS_20250611_130614_18.txt,320,0,200,117,3
output_CREATIVE PROMPTS_20250611_130621_19.txt,160,7,69,64,20
output_CREATIVE PROMPTS_20250611_130629_20.txt,246,0,137,109,0
output_CREATIVE PROMPTS_20250611_130637_21.txt,197,0,116,81,0
output_CREATIVE PROMPTS_20250611_130644_22.txt,212,0,128,84,0
output_CREATIVE PROMPTS_20250611_130653_23.txt,244,2,151,88,3
output_CREATIVE PROMPTS_20250611_130702_24.txt,247,0,137,104,6
output_CREATIVE PROMPTS_20250611_130709_25.txt,216,0,133,79,4
output_CREATIVE PROMPTS_20250611_130721_26.txt,357,0,219,124,14
output_CREATIVE PROMPTS_20250611_130730_27.txt,278,4,174,96,4
output_CREATIVE PROMPTS_20250611_130739_28.txt,208,0,127,78,3
output_CREATIVE PROMPTS_20250611_130747_29.txt,235,0,140,94,1
output_CREATIVE PROMPTS_20250611_130755_30.txt,200,0,131,64,5
output_CREATIVE PROMPTS_20250611_132028_1.txt,257,1,169,78,9
output_CREATIVE PROMPTS_20250611_132037_2.txt,288,1,175,107,5
output_CREATIVE PROMPTS_20250611_132047_3.txt,365,0,183,168,14
output_CREATIVE PROMPTS_20250611_132054_4.txt,197,0,116,81,0
output_CREATIVE PROMPTS_20250611_132100_5.txt,62,1,40,20,1
output_CREATIVE PROMPTS_20250611_132110_6.txt,236,4,131,101,0
output_CREATIVE PROMPTS_20250611_132119_7.txt,303,1,194,97,11
output_CREATIVE PROMPTS_20250611_132128_8.txt,256,0,146,109,1
output_CREATIVE PROMPTS_20250611_132136_9.txt,218,3,122,91,2
output_CREATIVE PROMPTS_20250611_132143_10.txt,229,1,146,82,0
output_CREATIVE PROMPTS_20250611_132150_11.txt,112,0,68,42,2
output_CREATIVE PROMPTS_20250611_132159_12.txt,311,0,193,118,0
output_CREATIVE PROMPTS_20250611_132208_13.txt,324,3,201,114,6
output_CREATIVE PROMPTS_20250611_132219_14.txt,446,2,283,156,5
output_CREATIVE PROMPTS_20250611_132228_15.txt,284,1,162,121,0
output_CREATIVE PROMPTS_20250611_132233_16.txt,90,1,42,40,7
output_CREATIVE PROMPTS_20250611_132243_17.txt,222,4,131,82,5
output_CREATIVE PROMPTS_20250611_132253_18.txt,321,0,191,125,5
output_CREATIVE PROMPTS_20250611_132301_19.txt,211,12,52,47,100
output_CREATIVE PROMPTS_20250611_132309_20.txt,256,0,151,104,1
output_CREATIVE PROMPTS_20250611_132317_21.txt,162,0,100,61,1
output_CREATIVE PROMPTS_20250611_132324_22.txt,193,0,122,71,0
output_CREATIVE PROMPTS_20250611_132333_23.txt,329,3,205,120,1
output_CREATIVE PROMPTS_20250611_132342_24.txt,289,4,172,110,3
output_CREATIVE PROMPTS_20250611_132349_1.txt,314,0,215,96,3
output_CREATIVE PROMPTS_20250611_132350_25.txt,233,0,145,81,7
output_CREATIVE PROMPTS_20250611_132357_2.txt,249,0,151,96,2
output_CREATIVE PROMPTS_20250611_132401_26.txt,334,0,207,109,18
output_CREATIVE PROMPTS_20250611_132406_3.txt,342,7,185,149,1
output_CREATIVE PROMPTS_20250611_132410_27.txt,276,7,168,96,5
output_CREATIVE PROMPTS_20250611_132413_4.txt,180,0,101,78,1
output_CREATIVE PROMPTS_20250611_132420_5.txt,140,1,88,51,0
output_CREATIVE PROMPTS_20250611_132421_28.txt,252,0,153,90,9
output_CREATIVE PROMPTS_20250611_132427_29.txt,180,0,105,74,1
output_CREATIVE PROMPTS_20250611_132430_6.txt,285,3,171,111,0
output_CREATIVE PROMPTS_20250611_132435_30.txt,203,0,139,62,2
output_CREATIVE PROMPTS_20250611_132439_7.txt,307,7,175,120,5
output_CREATIVE PROMPTS_20250611_132449_8.txt,234,0,153,80,1
output_CREATIVE PROMPTS_20250611_132457_9.txt,289,0,163,120,6
output_CREATIVE PROMPTS_20250611_132505_10.txt,247,0,157,87,3
output_CREATIVE PROMPTS_20250611_132512_11.txt,163,2,96,65,0
output_CREATIVE PROMPTS_20250611_132521_12.txt,283,0,174,109,0
output_CREATIVE PROMPTS_20250611_132531_13.txt,357,0,230,124,3
output_CREATIVE PROMPTS_20250611_132540_14.txt,371,0,228,140,3
output_CREATIVE PROMPTS_20250611_132549_15.txt,307,0,188,118,1
output_CREATIVE PROMPTS_20250611_132555_16.txt,56,0,19,25,12
output_CREATIVE PROMPTS_20250611_132605_17.txt,268,1,164,98,5
output_CREATIVE PROMPTS_20250611_132615_18.txt,277,0,190,85,2
output_CREATIVE PROMPTS_20250611_132623_19.txt,175,93,2,65,15
output_CREATIVE PROMPTS_20250611_132631_1.txt,374,7,227,138,2
output_CREATIVE PROMPTS_20250611_132631_20.txt,247,0,155,92,0
output_CREATIVE PROMPTS_20250611_132638_21.txt,177,0,105,70,2
output_CREATIVE PROMPTS_20250611_132640_2.txt,320,2,190,123,5
output_CREATIVE PROMPTS_20250611_132645_22.txt,133,0,87,46,0
output_CREATIVE PROMPTS_20250611_132650_3.txt,328,0,176,136,16
output_CREATIVE PROMPTS_20250611_132653_23.txt,245,1,160,81,3
output_CREATIVE PROMPTS_20250611_132658_4.txt,228,0,135,91,2
output_CREATIVE PROMPTS_20250611_132702_24.txt,251,2,147,98,4
output_CREATIVE PROMPTS_20250611_132704_5.txt,105,2,67,36,0
output_CREATIVE PROMPTS_20250611_132710_25.txt,242,1,131,109,1
output_CREATIVE PROMPTS_20250611_132714_6.txt,268,3,170,95,0
output_CREATIVE PROMPTS_20250611_132721_26.txt,335,0,226,102,7
output_CREATIVE PROMPTS_20250611_132723_7.txt,309,3,181,119,6
output_CREATIVE PROMPTS_20250611_132730_27.txt,280,2,185,89,4
output_CREATIVE PROMPTS_20250611_132732_8.txt,278,0,159,118,1
output_CREATIVE PROMPTS_20250611_132740_28.txt,224,0,150,70,4
output_CREATIVE PROMPTS_20250611_132740_9.txt,244,4,146,92,2
output_CREATIVE PROMPTS_20250611_132748_10.txt,246,0,167,77,2
output_CREATIVE PROMPTS_20250611_132748_29.txt,241,0,138,102,1
output_CREATIVE PROMPTS_20250611_132754_11.txt,133,0,94,39,0
output_CREATIVE PROMPTS_20250611_132756_30.txt,234,0,159,74,1
output_CREATIVE PROMPTS_20250611_132802_12.txt,239,0,140,99,0
output_CREATIVE PROMPTS_20250611_132812_13.txt,322,2,199,114,7
output_CREATIVE PROMPTS_20250611_132822_14.txt,407,1,248,158,0
output_CREATIVE PROMPTS_20250611_132831_15.txt,300,0,194,106,0
output_CREATIVE PROMPTS_20250611_132836_16.txt,82,1,36,39,6
output_CREATIVE PROMPTS_20250611_132847_17.txt,288,0,167,112,9
output_CREATIVE PROMPTS_20250611_132857_18.txt,330,0,199,129,2
output_CREATIVE PROMPTS_20250611_132905_19.txt,160,15,42,45,58
output_CREATIVE PROMPTS_20250611_132913_20.txt,221,0,126,95,0
output_CREATIVE PROMPTS_20250611_132920_21.txt,156,0,95,60,1
output_CREATIVE PROMPTS_20250611_132925_22.txt,59,0,42,16,1
output_CREATIVE PROMPTS_20250611_132933_23.txt,278,1,189,87,1
output_CREATIVE PROMPTS_20250611_132942_24.txt,273,4,152,113,4
output_CREATIVE PROMPTS_20250611_132950_25.txt,220,0,126,88,6
output_CREATIVE PROMPTS_20250611_133001_26.txt,348,0,215,126,7
output_CREATIVE PROMPTS_20250611_133010_27.txt,278,14,169,91,4
output_CREATIVE PROMPTS_20250611_133020_28.txt,233,0,161,69,3
output_CREATIVE PROMPTS_20250611_133027_29.txt,161,0,95,63,3
output_CREATIVE PROMPTS_20250611_133036_30.txt,255,0,152,96,7
output_CREATIVE PROMPTS_20250611_133711_1.txt,283,1,176,97,9
output_CREATIVE PROMPTS_20250611_133720_2.txt,278,0,169,108,1
output_CREATIVE PROMPTS_20250611_133729_3.txt,338,5,185,145,3
output_CREATIVE PROMPTS_20250611_133736_4.txt,229,0,136,93,0
output_CREATIVE PROMPTS_20250611_133743_5.txt,110,1,72,36,1
output_CREATIVE PROMPTS_20250611_133752_6.txt,248,4,147,94,3
output_CREATIVE PROMPTS_20250611_133801_7.txt,288,5,161,111,11
output_CREATIVE PROMPTS_20250611_133810_8.txt,243,0,140,101,2
output_CREATIVE PROMPTS_20250611_133818_9.txt,225,0,133,91,1
output_CREATIVE PROMPTS_20250611_133827_10.txt,288,1,184,100,3
output_CREATIVE PROMPTS_20250611_133832_11.txt,73,0,48,25,0
output_CREATIVE PROMPTS_20250611_133840_12.txt,224,0,142,80,2
output_CREATIVE PROMPTS_20250611_133850_13.txt,345,0,196,139,10
output_CREATIVE PROMPTS_20250611_133900_14.txt,392,0,231,159,2
output_CREATIVE PROMPTS_20250611_133908_15.txt,257,0,161,94,2
output_CREATIVE PROMPTS_20250611_133913_16.txt,61,3,30,25,3
output_CREATIVE PROMPTS_20250611_133925_17.txt,240,0,150,86,4
output_CREATIVE PROMPTS_20250611_133934_18.txt,315,2,182,129,2
output_CREATIVE PROMPTS_20250611_133942_19.txt,168,4,67,69,28
output_CREATIVE PROMPTS_20250611_133950_20.txt,266,0,171,94,1
output_CREATIVE PROMPTS_20250611_133957_21.txt,157,0,89,68,0
output_CREATIVE PROMPTS_20250611_134002_22.txt,65,0,41,24,0
output_CREATIVE PROMPTS_20250611_134011_23.txt,308,1,195,111,1
output_CREATIVE PROMPTS_20250611_134020_24.txt,285,9,147,124,5
output_CREATIVE PROMPTS_20250611_134027_25.txt,220,0,145,72,3
output_CREATIVE PROMPTS_20250611_134039_26.txt,307,0,192,100,15
output_CREATIVE PROMPTS_20250611_134047_27.txt,220,0,137,78,5
output_CREATIVE PROMPTS_20250611_134049_1.txt,334,0,220,111,3
output_CREATIVE PROMPTS_20250611_134057_2.txt,217,0,134,81,2
output_CREATIVE PROMPTS_20250611_134058_28.txt,237,0,148,82,7
output_CREATIVE PROMPTS_20250611_134105_29.txt,174,0,105,67,2
output_CREATIVE PROMPTS_20250611_134106_3.txt,328,0,183,134,11
output_CREATIVE PROMPTS_20250611_134112_30.txt,196,0,125,67,4
output_CREATIVE PROMPTS_20250611_134113_4.txt,195,0,118,77,0
output_CREATIVE PROMPTS_20250611_134120_5.txt,140,1,89,49,1
output_CREATIVE PROMPTS_20250611_134130_6.txt,308,4,180,123,1
output_CREATIVE PROMPTS_20250611_134140_7.txt,331,3,207,114,7
output_CREATIVE PROMPTS_20250611_134149_8.txt,265,0,150,111,4
output_CREATIVE PROMPTS_20250611_134201_9.txt,272,5,157,110,0
output_CREATIVE PROMPTS_20250611_134208_10.txt,212,2,142,67,1
output_CREATIVE PROMPTS_20250611_134214_11.txt,104,0,67,37,0
output_CREATIVE PROMPTS_20250611_134222_12.txt,250,0,146,104,0
output_CREATIVE PROMPTS_20250611_134232_13.txt,351,7,209,127,8
output_CREATIVE PROMPTS_20250611_134243_14.txt,437,3,269,157,8
output_CREATIVE PROMPTS_20250611_134255_15.txt,331,0,203,126,2
output_CREATIVE PROMPTS_20250611_134301_16.txt,97,2,48,37,10
output_CREATIVE PROMPTS_20250611_134312_17.txt,298,1,193,101,3
output_CREATIVE PROMPTS_20250611_134318_1.txt,317,0,201,113,3
output_CREATIVE PROMPTS_20250611_134322_18.txt,289,1,181,106,1
output_CREATIVE PROMPTS_20250611_134327_2.txt,307,0,195,111,1
output_CREATIVE PROMPTS_20250611_134330_19.txt,144,21,33,34,56
output_CREATIVE PROMPTS_20250611_134336_3.txt,342,0,181,151,10
