filename,total_words,english_only,danish_only,ambiguous,neither
output_NON_STEM_20250611_125651_1.txt,400,0,251,143,6
output_NON_STEM_20250611_125700_2.txt,362,0,241,109,12
output_NON_STEM_20250611_125710_3.txt,385,0,235,146,4
output_NON_STEM_20250611_125720_4.txt,342,2,212,126,2
output_NON_STEM_20250611_125730_5.txt,384,0,252,125,7
output_NON_STEM_20250611_125741_6.txt,408,0,260,147,1
output_NON_STEM_20250611_125752_7.txt,391,2,237,145,7
output_NON_STEM_20250611_125803_8.txt,386,0,267,114,5
output_NON_STEM_20250611_125812_9.txt,361,0,219,139,3
output_NON_STEM_20250611_125822_10.txt,333,0,205,126,2
output_NON_STEM_20250611_125832_11.txt,366,0,235,128,3
output_NON_STEM_20250611_125843_12.txt,434,0,270,158,6
output_NON_STEM_20250611_125853_13.txt,359,4,211,133,11
output_NON_STEM_20250611_125903_14.txt,385,0,248,127,10
output_NON_STEM_20250611_125912_15.txt,316,0,199,116,1
output_NON_STEM_20250611_131336_1.txt,445,1,285,156,3
output_NON_STEM_20250611_131345_2.txt,362,0,229,116,17
output_NON_STEM_20250611_131355_3.txt,322,1,201,120,0
output_NON_STEM_20250611_131405_4.txt,356,1,218,136,1
output_NON_STEM_20250611_131415_5.txt,360,1,252,99,8
output_NON_STEM_20250611_131424_6.txt,331,0,207,122,2
output_NON_STEM_20250611_131435_7.txt,459,0,273,177,9
output_NON_STEM_20250611_131446_8.txt,425,0,283,139,3
output_NON_STEM_20250611_131455_9.txt,317,0,195,117,5
output_NON_STEM_20250611_131505_10.txt,290,0,177,112,1
output_NON_STEM_20250611_131515_11.txt,391,0,244,144,3
output_NON_STEM_20250611_131526_12.txt,399,1,247,135,16
output_NON_STEM_20250611_131535_13.txt,334,7,186,126,15
output_NON_STEM_20250611_131545_14.txt,346,0,226,111,9
output_NON_STEM_20250611_131554_15.txt,262,0,160,100,2
output_NON_STEM_20250611_133015_1.txt,429,0,273,151,5
output_NON_STEM_20250611_133025_2.txt,382,0,242,125,15
output_NON_STEM_20250611_133034_3.txt,329,0,212,112,5
output_NON_STEM_20250611_133043_4.txt,326,0,197,127,2
output_NON_STEM_20250611_133054_5.txt,380,2,253,120,5
output_NON_STEM_20250611_133103_6.txt,370,0,234,130,6
output_NON_STEM_20250611_133113_7.txt,332,1,210,121,0
output_NON_STEM_20250611_133124_8.txt,434,0,285,143,6
output_NON_STEM_20250611_133134_9.txt,402,0,231,168,3
output_NON_STEM_20250611_133144_10.txt,317,0,180,135,2
output_NON_STEM_20250611_133154_11.txt,383,1,249,130,3
output_NON_STEM_20250611_133205_12.txt,385,3,230,143,9
output_NON_STEM_20250611_133215_13.txt,358,3,214,130,11
output_NON_STEM_20250611_133224_14.txt,304,0,219,77,8
output_NON_STEM_20250611_133233_15.txt,299,0,181,118,0
output_NON_STEM_20250611_133345_1.txt,420,0,255,160,5
output_NON_STEM_20250611_133354_2.txt,358,0,243,107,8
output_NON_STEM_20250611_133405_3.txt,353,0,220,131,2
output_NON_STEM_20250611_133414_4.txt,331,0,201,126,4
output_NON_STEM_20250611_133425_5.txt,403,0,277,120,6
output_NON_STEM_20250611_133435_6.txt,367,0,233,131,3
output_NON_STEM_20250611_133446_7.txt,399,1,256,135,7
output_NON_STEM_20250611_133456_8.txt,429,0,271,155,3
output_NON_STEM_20250611_133506_9.txt,371,0,227,139,5
output_NON_STEM_20250611_133515_10.txt,318,0,200,111,7
output_NON_STEM_20250611_133525_11.txt,341,0,214,119,8
output_NON_STEM_20250611_133536_12.txt,394,1,249,138,6
output_NON_STEM_20250611_133547_13.txt,398,3,239,145,11
output_NON_STEM_20250611_133557_14.txt,359,0,238,110,11
output_NON_STEM_20250611_133607_15.txt,313,0,187,125,1
output_NON_STEM_20250611_133615_1.txt,399,0,244,151,4
output_NON_STEM_20250611_133624_2.txt,347,0,227,105,15
output_NON_STEM_20250611_133634_3.txt,326,0,209,115,2
output_NON_STEM_20250611_133643_4.txt,365,1,220,143,1
output_NON_STEM_20250611_133654_5.txt,423,1,267,149,6
output_NON_STEM_20250611_133704_6.txt,366,0,245,119,2
output_NON_STEM_20250611_133715_7.txt,385,0,230,150,5
output_NON_STEM_20250611_133725_8.txt,375,0,247,123,5
output_NON_STEM_20250611_133735_9.txt,389,0,236,149,4
output_NON_STEM_20250611_133744_10.txt,312,0,191,119,2
output_NON_STEM_20250611_133754_11.txt,396,0,248,144,4
output_NON_STEM_20250611_133806_12.txt,408,0,255,148,5
output_NON_STEM_20250611_133816_13.txt,329,5,214,104,6
output_NON_STEM_20250611_133826_14.txt,366,0,242,118,6
output_NON_STEM_20250611_133835_15.txt,346,0,215,126,5
output_NON_STEM_20250611_134653_1.txt,418,1,263,149,5
output_NON_STEM_20250611_134701_2.txt,331,0,211,111,9
output_NON_STEM_20250611_134711_3.txt,358,0,226,127,5
output_NON_STEM_20250611_134721_4.txt,397,0,243,151,3
output_NON_STEM_20250611_134733_5.txt,420,0,288,123,9
output_NON_STEM_20250611_134742_6.txt,334,1,211,114,8
