filename,total_words,english_only,danish_only,ambiguous,neither
output_RIDDLES_20250611_125916_1.txt,4,0,3,1,0
output_RIDDLES_20250611_125922_2.txt,71,0,45,25,1
output_RIDDLES_20250611_125927_3.txt,42,0,25,16,1
output_RIDDLES_20250611_125932_4.txt,25,0,9,16,0
output_RIDDLES_20250611_125937_5.txt,73,0,50,23,0
output_RIDDLES_20250611_125943_6.txt,141,0,94,47,0
output_RIDDLES_20250611_125948_7.txt,24,0,13,11,0
output_RIDDLES_20250611_125953_8.txt,16,0,11,5,0
output_RIDDLES_20250611_125959_9.txt,121,2,69,49,1
output_RIDDLES_20250611_130004_10.txt,6,0,5,1,0
output_RIDDLES_20250611_130008_11.txt,14,0,7,7,0
output_RIDDLES_20250611_130013_12.txt,8,0,7,1,0
output_RIDDLES_20250611_130019_13.txt,102,0,58,40,4
output_RIDDLES_20250611_130024_14.txt,34,0,17,17,0
output_RIDDLES_20250611_130031_15.txt,190,0,99,91,0
output_RIDDLES_20250611_130037_16.txt,83,0,54,29,0
output_RIDDLES_20250611_130042_17.txt,48,0,16,18,14
output_RIDDLES_20250611_130049_18.txt,134,0,86,48,0
output_RIDDLES_20250611_130057_19.txt,255,0,162,92,1
output_RIDDLES_20250611_130102_20.txt,10,2,3,2,3
output_RIDDLES_20250611_130107_21.txt,63,0,40,22,1
output_RIDDLES_20250611_130112_22.txt,27,0,18,6,3
output_RIDDLES_20250611_130118_23.txt,114,4,54,48,8
output_RIDDLES_20250611_130123_24.txt,12,1,8,3,0
output_RIDDLES_20250611_130127_25.txt,5,0,2,3,0
output_RIDDLES_20250611_130132_26.txt,4,0,3,1,0
output_RIDDLES_20250611_130137_27.txt,45,0,31,14,0
output_RIDDLES_20250611_130143_28.txt,51,0,26,20,5
output_RIDDLES_20250611_130147_29.txt,9,0,6,3,0
output_RIDDLES_20250611_130152_30.txt,18,0,7,11,0
output_RIDDLES_20250611_131558_1.txt,4,0,3,1,0
output_RIDDLES_20250611_131603_2.txt,58,0,31,26,1
output_RIDDLES_20250611_131609_3.txt,45,0,25,18,2
output_RIDDLES_20250611_131613_4.txt,35,0,13,22,0
output_RIDDLES_20250611_131620_5.txt,143,0,104,38,1
output_RIDDLES_20250611_131625_6.txt,31,0,26,5,0
output_RIDDLES_20250611_131630_7.txt,24,0,13,11,0
output_RIDDLES_20250611_131634_8.txt,18,0,13,5,0
output_RIDDLES_20250611_131641_9.txt,96,1,56,38,1
output_RIDDLES_20250611_131645_10.txt,6,0,5,1,0
output_RIDDLES_20250611_131650_11.txt,38,0,22,16,0
output_RIDDLES_20250611_131655_12.txt,9,0,8,1,0
output_RIDDLES_20250611_131701_13.txt,110,3,54,47,6
output_RIDDLES_20250611_131706_14.txt,46,0,29,17,0
output_RIDDLES_20250611_131713_15.txt,157,0,91,66,0
output_RIDDLES_20250611_131718_16.txt,41,0,28,13,0
output_RIDDLES_20250611_131723_17.txt,30,0,13,8,9
output_RIDDLES_20250611_131729_18.txt,123,0,84,39,0
output_RIDDLES_20250611_131737_19.txt,209,1,129,78,1
output_RIDDLES_20250611_131742_20.txt,8,0,5,3,0
output_RIDDLES_20250611_131747_21.txt,95,0,60,33,2
output_RIDDLES_20250611_131752_22.txt,14,0,5,4,5
output_RIDDLES_20250611_131757_23.txt,60,1,33,25,1
output_RIDDLES_20250611_131802_24.txt,13,1,8,4,0
output_RIDDLES_20250611_131806_25.txt,5,0,2,3,0
output_RIDDLES_20250611_131811_26.txt,4,0,3,1,0
output_RIDDLES_20250611_131816_27.txt,42,0,27,15,0
output_RIDDLES_20250611_131821_28.txt,34,0,17,13,4
output_RIDDLES_20250611_131826_29.txt,21,0,13,8,0
output_RIDDLES_20250611_131830_30.txt,15,0,7,8,0
output_RIDDLES_20250611_133238_1.txt,11,0,8,3,0
output_RIDDLES_20250611_133243_2.txt,66,0,45,20,1
output_RIDDLES_20250611_133249_3.txt,53,0,34,17,2
output_RIDDLES_20250611_133253_4.txt,22,0,9,13,0
output_RIDDLES_20250611_133300_5.txt,163,0,105,56,2
output_RIDDLES_20250611_133307_6.txt,141,0,100,39,2
output_RIDDLES_20250611_133312_7.txt,32,0,17,15,0
output_RIDDLES_20250611_133317_8.txt,18,0,12,6,0
output_RIDDLES_20250611_133322_9.txt,65,0,38,27,0
output_RIDDLES_20250611_133327_10.txt,6,0,5,1,0
output_RIDDLES_20250611_133332_11.txt,52,0,29,23,0
output_RIDDLES_20250611_133336_12.txt,9,0,8,1,0
output_RIDDLES_20250611_133343_13.txt,178,0,104,66,8
output_RIDDLES_20250611_133348_14.txt,45,0,23,22,0
output_RIDDLES_20250611_133355_15.txt,106,0,49,57,0
output_RIDDLES_20250611_133400_16.txt,43,0,27,16,0
output_RIDDLES_20250611_133405_17.txt,40,0,17,13,10
output_RIDDLES_20250611_133412_18.txt,174,1,109,63,1
output_RIDDLES_20250611_133420_19.txt,241,0,142,95,4
output_RIDDLES_20250611_133425_20.txt,1,1,0,0,0
output_RIDDLES_20250611_133430_21.txt,76,0,47,27,2
output_RIDDLES_20250611_133435_22.txt,11,0,4,1,6
output_RIDDLES_20250611_133440_23.txt,53,0,32,20,1
output_RIDDLES_20250611_133444_24.txt,9,0,6,3,0
output_RIDDLES_20250611_133449_25.txt,5,0,2,3,0
output_RIDDLES_20250611_133453_26.txt,4,0,3,1,0
output_RIDDLES_20250611_133458_27.txt,46,0,29,16,1
output_RIDDLES_20250611_133504_28.txt,33,0,19,10,4
output_RIDDLES_20250611_133509_29.txt,24,0,14,10,0
output_RIDDLES_20250611_133513_30.txt,10,0,4,6,0
output_RIDDLES_20250611_133612_1.txt,11,0,8,3,0
output_RIDDLES_20250611_133617_2.txt,57,0,36,21,0
output_RIDDLES_20250611_133622_3.txt,48,0,24,22,2
output_RIDDLES_20250611_133627_4.txt,20,0,5,15,0
output_RIDDLES_20250611_133634_5.txt,176,0,117,57,2
output_RIDDLES_20250611_133641_6.txt,135,0,91,43,1
output_RIDDLES_20250611_133645_7.txt,23,0,11,12,0
output_RIDDLES_20250611_133650_8.txt,19,0,12,7,0
output_RIDDLES_20250611_133656_9.txt,50,0,27,23,0
output_RIDDLES_20250611_133701_10.txt,6,0,5,1,0
output_RIDDLES_20250611_133705_11.txt,16,0,9,7,0
output_RIDDLES_20250611_133710_12.txt,5,0,4,1,0
output_RIDDLES_20250611_133716_13.txt,139,1,86,46,6
output_RIDDLES_20250611_133721_14.txt,44,0,29,15,0
output_RIDDLES_20250611_133729_15.txt,225,0,110,115,0
output_RIDDLES_20250611_133734_16.txt,43,0,29,14,0
output_RIDDLES_20250611_133739_17.txt,25,0,14,7,4
output_RIDDLES_20250611_133746_18.txt,188,0,113,75,0
output_RIDDLES_20250611_133755_19.txt,257,0,164,92,1
output_RIDDLES_20250611_133759_20.txt,9,0,7,2,0
output_RIDDLES_20250611_133805_21.txt,79,0,50,27,2
output_RIDDLES_20250611_133809_22.txt,10,0,3,2,5
output_RIDDLES_20250611_133815_23.txt,107,0,61,43,3
output_RIDDLES_20250611_133819_24.txt,10,0,8,2,0
output_RIDDLES_20250611_133824_25.txt,5,0,2,3,0
output_RIDDLES_20250611_133828_26.txt,4,0,3,1,0
output_RIDDLES_20250611_133833_27.txt,46,0,28,18,0
output_RIDDLES_20250611_133839_28.txt,40,0,19,16,5
output_RIDDLES_20250611_133840_1.txt,4,0,3,1,0
output_RIDDLES_20250611_133844_29.txt,19,0,11,8,0
output_RIDDLES_20250611_133846_2.txt,107,0,65,41,1
output_RIDDLES_20250611_133848_30.txt,15,0,8,7,0
output_RIDDLES_20250611_133851_3.txt,47,0,30,16,1
output_RIDDLES_20250611_133856_4.txt,16,0,5,11,0
output_RIDDLES_20250611_133902_5.txt,170,0,113,56,1
output_RIDDLES_20250611_133909_6.txt,134,0,87,46,1
output_RIDDLES_20250611_133914_7.txt,28,0,15,13,0
output_RIDDLES_20250611_133918_8.txt,10,0,5,5,0
output_RIDDLES_20250611_133924_9.txt,37,0,17,19,1
output_RIDDLES_20250611_133929_10.txt,6,0,5,1,0
output_RIDDLES_20250611_133934_11.txt,27,0,20,7,0
output_RIDDLES_20250611_133938_12.txt,8,0,7,1,0
output_RIDDLES_20250611_133944_13.txt,93,0,49,42,2
output_RIDDLES_20250611_133949_14.txt,32,0,18,14,0
output_RIDDLES_20250611_133956_15.txt,134,0,72,62,0
output_RIDDLES_20250611_134001_16.txt,34,0,20,14,0
output_RIDDLES_20250611_134006_17.txt,24,0,12,7,5
output_RIDDLES_20250611_134013_18.txt,160,0,97,62,1
output_RIDDLES_20250611_134022_19.txt,328,0,197,128,3
output_RIDDLES_20250611_134026_20.txt,13,2,7,3,1
output_RIDDLES_20250611_134032_21.txt,83,0,52,31,0
output_RIDDLES_20250611_134037_22.txt,29,0,18,6,5
output_RIDDLES_20250611_134043_23.txt,87,0,50,36,1
output_RIDDLES_20250611_134047_24.txt,14,1,6,7,0
output_RIDDLES_20250611_134052_25.txt,5,0,2,3,0
output_RIDDLES_20250611_134056_26.txt,4,0,3,1,0
output_RIDDLES_20250611_134101_27.txt,47,0,29,18,0
output_RIDDLES_20250611_134107_28.txt,30,0,15,12,3
output_RIDDLES_20250611_134111_29.txt,7,0,5,2,0
output_RIDDLES_20250611_134116_30.txt,8,0,2,6,0
output_RIDDLES_20250611_134916_1.txt,4,0,3,1,0
output_RIDDLES_20250611_134921_2.txt,78,0,44,34,0
output_RIDDLES_20250611_134927_3.txt,47,0,28,18,1
output_RIDDLES_20250611_134931_4.txt,26,0,9,17,0
output_RIDDLES_20250611_134939_5.txt,182,0,123,57,2
output_RIDDLES_20250611_134945_6.txt,130,0,84,44,2
output_RIDDLES_20250611_134950_7.txt,19,0,10,9,0
output_RIDDLES_20250611_134954_8.txt,12,0,9,3,0
output_RIDDLES_20250611_135001_9.txt,77,3,45,29,0
output_RIDDLES_20250611_135005_10.txt,6,0,5,1,0
output_RIDDLES_20250611_135010_11.txt,29,0,20,9,0
output_RIDDLES_20250611_135015_12.txt,9,0,8,1,0
output_RIDDLES_20250611_135021_13.txt,103,0,67,31,5
output_RIDDLES_20250611_135025_14.txt,27,0,18,9,0
output_RIDDLES_20250611_135031_15.txt,85,0,40,45,0
output_RIDDLES_20250611_135036_16.txt,33,0,22,10,1
output_RIDDLES_20250611_135041_17.txt,26,0,15,6,5
output_RIDDLES_20250611_135048_18.txt,93,0,63,30,0
output_RIDDLES_20250611_135057_19.txt,287,2,185,98,2
output_RIDDLES_20250611_135102_20.txt,33,0,18,14,1
output_RIDDLES_20250611_135107_21.txt,83,0,53,29,1
output_RIDDLES_20250611_135112_22.txt,11,0,7,2,2
output_RIDDLES_20250611_135118_23.txt,88,0,49,37,2
output_RIDDLES_20250611_135122_24.txt,8,0,6,2,0
output_RIDDLES_20250611_135126_25.txt,5,0,2,3,0
output_RIDDLES_20250611_135131_26.txt,4,0,3,1,0
output_RIDDLES_20250611_135136_27.txt,22,0,18,4,0
output_RIDDLES_20250611_135141_28.txt,33,0,17,11,5
output_RIDDLES_20250611_135146_29.txt,18,0,12,6,0
output_RIDDLES_20250611_135151_30.txt,11,0,5,6,0
output_RIDDLES_20250611_135307_1.txt,11,0,8,3,0
output_RIDDLES_20250611_135312_2.txt,55,0,30,24,1
output_RIDDLES_20250611_135318_3.txt,75,0,43,30,2
output_RIDDLES_20250611_135323_4.txt,37,0,18,19,0
output_RIDDLES_20250611_135330_5.txt,172,0,126,45,1
output_RIDDLES_20250611_135336_6.txt,121,0,77,42,2
output_RIDDLES_20250611_135341_7.txt,29,0,15,14,0
output_RIDDLES_20250611_135345_8.txt,19,0,12,7,0
output_RIDDLES_20250611_135352_9.txt,88,0,43,44,1
output_RIDDLES_20250611_135356_10.txt,6,0,5,1,0
output_RIDDLES_20250611_135401_11.txt,20,0,12,8,0
output_RIDDLES_20250611_135405_12.txt,9,0,8,1,0
output_RIDDLES_20250611_135411_13.txt,67,0,48,17,2
output_RIDDLES_20250611_135416_14.txt,37,0,20,17,0
output_RIDDLES_20250611_135422_15.txt,112,0,60,52,0
output_RIDDLES_20250611_135427_16.txt,46,0,30,16,0
output_RIDDLES_20250611_135432_17.txt,34,0,18,8,8
output_RIDDLES_20250611_135439_18.txt,172,0,103,69,0
output_RIDDLES_20250611_135448_19.txt,265,0,163,96,6
output_RIDDLES_20250611_135452_20.txt,2,0,2,0,0
output_RIDDLES_20250611_135458_21.txt,85,0,53,32,0
output_RIDDLES_20250611_135503_22.txt,35,0,19,11,5
output_RIDDLES_20250611_135510_23.txt,128,0,75,52,1
output_RIDDLES_20250611_135514_24.txt,8,1,6,1,0
output_RIDDLES_20250611_135519_25.txt,5,0,2,3,0
output_RIDDLES_20250611_135523_26.txt,4,0,3,1,0
output_RIDDLES_20250611_135527_1.txt,4,0,3,1,0
output_RIDDLES_20250611_135528_27.txt,46,0,31,14,1
output_RIDDLES_20250611_135533_2.txt,83,0,48,35,0
output_RIDDLES_20250611_135534_28.txt,37,0,16,16,5
output_RIDDLES_20250611_135538_3.txt,49,0,29,18,2
output_RIDDLES_20250611_135539_29.txt,7,0,5,2,0
output_RIDDLES_20250611_135543_30.txt,9,0,2,7,0
output_RIDDLES_20250611_135544_4.txt,53,0,29,24,0
output_RIDDLES_20250611_135550_5.txt,119,0,87,30,2
output_RIDDLES_20250611_135556_6.txt,103,0,65,38,0
output_RIDDLES_20250611_135601_7.txt,21,0,10,11,0
output_RIDDLES_20250611_135605_8.txt,20,0,13,7,0
output_RIDDLES_20250611_135612_9.txt,70,1,41,28,0
output_RIDDLES_20250611_135616_10.txt,6,0,5,1,0
output_RIDDLES_20250611_135621_11.txt,31,0,20,11,0
output_RIDDLES_20250611_135626_12.txt,8,0,7,1,0
output_RIDDLES_20250611_135632_13.txt,110,0,64,41,5
output_RIDDLES_20250611_135636_14.txt,27,0,17,10,0
output_RIDDLES_20250611_135643_15.txt,128,0,72,56,0
output_RIDDLES_20250611_135648_16.txt,37,0,23,13,1
output_RIDDLES_20250611_135653_17.txt,55,0,18,37,0
output_RIDDLES_20250611_135659_18.txt,102,0,71,31,0
output_RIDDLES_20250611_135708_19.txt,279,0,176,101,2
output_RIDDLES_20250611_135713_20.txt,8,0,5,3,0
output_RIDDLES_20250611_135718_21.txt,80,0,50,29,1
output_RIDDLES_20250611_135723_22.txt,11,0,3,2,6
output_RIDDLES_20250611_135728_23.txt,89,0,50,37,2
output_RIDDLES_20250611_135733_24.txt,10,0,6,4,0
output_RIDDLES_20250611_135737_25.txt,5,0,2,3,0
output_RIDDLES_20250611_135742_26.txt,4,0,3,1,0
output_RIDDLES_20250611_135747_27.txt,48,0,31,16,1
output_RIDDLES_20250611_135753_28.txt,41,0,20,17,4
output_RIDDLES_20250611_135757_29.txt,9,0,5,4,0
output_RIDDLES_20250611_135802_30.txt,14,0,5,9,0
output_RIDDLES_20250611_140952_1.txt,11,0,8,3,0
output_RIDDLES_20250611_140957_2.txt,70,0,37,32,1
output_RIDDLES_20250611_141003_3.txt,100,0,57,40,3
output_RIDDLES_20250611_141009_4.txt,47,0,25,22,0
output_RIDDLES_20250611_141016_5.txt,163,0,119,44,0
output_RIDDLES_20250611_141022_6.txt,158,0,104,54,0
output_RIDDLES_20250611_141027_7.txt,28,0,14,14,0
output_RIDDLES_20250611_141032_8.txt,21,0,12,9,0
output_RIDDLES_20250611_141039_9.txt,159,9,81,67,2
output_RIDDLES_20250611_141043_10.txt,17,0,13,4,0
output_RIDDLES_20250611_141048_11.txt,19,0,13,6,0
output_RIDDLES_20250611_141052_12.txt,9,0,8,1,0
output_RIDDLES_20250611_141059_13.txt,123,1,69,47,6
output_RIDDLES_20250611_141103_14.txt,35,0,23,12,0
output_RIDDLES_20250611_141111_15.txt,180,0,102,78,0
output_RIDDLES_20250611_141116_16.txt,7,0,4,3,0
output_RIDDLES_20250611_141122_17.txt,24,0,18,6,0
output_RIDDLES_20250611_141127_18.txt,117,0,70,47,0
output_RIDDLES_20250611_141136_19.txt,260,0,160,98,2
output_RIDDLES_20250611_141141_20.txt,26,0,14,11,1
output_RIDDLES_20250611_141146_21.txt,95,0,56,36,3
output_RIDDLES_20250611_141151_22.txt,14,0,11,3,0
output_RIDDLES_20250611_141157_23.txt,103,2,55,45,1
output_RIDDLES_20250611_141201_24.txt,9,0,6,3,0
output_RIDDLES_20250611_141206_25.txt,5,0,2,3,0
output_RIDDLES_20250611_141210_1.txt,4,0,3,1,0
output_RIDDLES_20250611_141210_26.txt,4,0,3,1,0
output_RIDDLES_20250611_141215_2.txt,51,0,30,21,0
output_RIDDLES_20250611_141215_27.txt,47,0,32,14,1
output_RIDDLES_20250611_141221_28.txt,40,0,18,17,5
output_RIDDLES_20250611_141221_3.txt,49,0,27,21,1
output_RIDDLES_20250611_141225_4.txt,26,0,9,17,0
output_RIDDLES_20250611_141226_29.txt,9,0,5,4,0
output_RIDDLES_20250611_141230_30.txt,20,0,10,10,0
output_RIDDLES_20250611_141233_5.txt,180,1,130,48,1
output_RIDDLES_20250611_141239_6.txt,113,0,74,39,0
output_RIDDLES_20250611_141244_7.txt,19,0,10,9,0
output_RIDDLES_20250611_141248_8.txt,18,0,10,8,0
output_RIDDLES_20250611_141255_9.txt,92,6,45,41,0
output_RIDDLES_20250611_141259_10.txt,6,0,5,1,0
output_RIDDLES_20250611_141304_11.txt,25,0,17,8,0
output_RIDDLES_20250611_141308_12.txt,5,0,4,1,0
output_RIDDLES_20250611_141315_13.txt,161,1,95,57,8
output_RIDDLES_20250611_141320_14.txt,32,0,19,13,0
output_RIDDLES_20250611_141327_15.txt,143,0,83,60,0
output_RIDDLES_20250611_141332_16.txt,49,0,31,18,0
output_RIDDLES_20250611_141338_17.txt,55,1,20,14,20
output_RIDDLES_20250611_141344_18.txt,152,0,91,61,0
output_RIDDLES_20250611_141354_19.txt,303,0,199,102,2
output_RIDDLES_20250611_141358_20.txt,0,0,0,0,0
output_RIDDLES_20250611_141404_21.txt,104,0,66,37,1
output_RIDDLES_20250611_141408_22.txt,10,0,3,2,5
output_RIDDLES_20250611_141414_23.txt,74,0,42,32,0
output_RIDDLES_20250611_141418_24.txt,15,1,6,8,0
output_RIDDLES_20250611_141423_25.txt,5,0,2,3,0
output_RIDDLES_20250611_141427_26.txt,4,0,3,1,0
output_RIDDLES_20250611_141432_27.txt,39,0,24,15,0
output_RIDDLES_20250611_141438_28.txt,47,0,24,18,5
output_RIDDLES_20250611_141442_29.txt,7,0,5,2,0
output_RIDDLES_20250611_141447_30.txt,10,0,4,6,0
output_RIDDLES_20250611_142645_1.txt,11,0,8,3,0
output_RIDDLES_20250611_142650_2.txt,73,0,43,30,0
output_RIDDLES_20250611_142656_3.txt,66,0,41,23,2
output_RIDDLES_20250611_142701_4.txt,31,0,9,22,0
output_RIDDLES_20250611_142707_5.txt,163,0,115,48,0
output_RIDDLES_20250611_142714_6.txt,148,0,98,49,1
output_RIDDLES_20250611_142719_7.txt,21,0,9,12,0
output_RIDDLES_20250611_142723_8.txt,10,0,5,5,0
output_RIDDLES_20250611_142729_9.txt,71,1,28,42,0
output_RIDDLES_20250611_142734_10.txt,6,0,5,1,0
output_RIDDLES_20250611_142738_11.txt,20,0,16,4,0
output_RIDDLES_20250611_142743_12.txt,9,0,8,1,0
output_RIDDLES_20250611_142750_13.txt,149,2,85,57,5
output_RIDDLES_20250611_142755_14.txt,28,0,19,9,0
output_RIDDLES_20250611_142802_15.txt,164,0,89,75,0
output_RIDDLES_20250611_142807_16.txt,30,0,19,11,0
output_RIDDLES_20250611_142812_17.txt,38,1,18,11,8
output_RIDDLES_20250611_142819_18.txt,159,0,100,59,0
output_RIDDLES_20250611_142827_19.txt,291,0,183,104,4
output_RIDDLES_20250611_142832_20.txt,9,0,6,3,0
output_RIDDLES_20250611_142837_21.txt,75,0,48,27,0
output_RIDDLES_20250611_142842_22.txt,14,0,10,4,0
output_RIDDLES_20250611_142848_23.txt,105,0,59,44,2
output_RIDDLES_20250611_142852_24.txt,9,0,5,4,0
output_RIDDLES_20250611_142856_1.txt,11,0,8,3,0
output_RIDDLES_20250611_142857_25.txt,5,0,2,3,0
output_RIDDLES_20250611_142901_2.txt,64,0,41,23,0
output_RIDDLES_20250611_142901_26.txt,4,0,3,1,0
output_RIDDLES_20250611_142906_27.txt,49,0,33,16,0
output_RIDDLES_20250611_142906_3.txt,39,0,21,17,1
output_RIDDLES_20250611_142911_4.txt,20,0,4,16,0
output_RIDDLES_20250611_142912_28.txt,40,0,20,16,4
output_RIDDLES_20250611_142917_29.txt,18,0,10,8,0
output_RIDDLES_20250611_142918_5.txt,163,0,111,50,2
output_RIDDLES_20250611_142921_30.txt,11,0,5,6,0
output_RIDDLES_20250611_142925_6.txt,131,0,85,44,2
output_RIDDLES_20250611_142930_7.txt,22,0,12,10,0
output_RIDDLES_20250611_142934_8.txt,13,0,9,4,0
output_RIDDLES_20250611_142941_9.txt,105,1,62,42,0
output_RIDDLES_20250611_142945_10.txt,6,0,5,1,0
output_RIDDLES_20250611_142950_11.txt,25,0,15,9,1
output_RIDDLES_20250611_142954_12.txt,9,0,8,1,0
output_RIDDLES_20250611_143001_13.txt,151,2,97,46,6
output_RIDDLES_20250611_143006_14.txt,25,0,16,9,0
output_RIDDLES_20250611_143011_15.txt,40,0,18,22,0
output_RIDDLES_20250611_143016_16.txt,30,0,17,13,0
output_RIDDLES_20250611_143021_17.txt,61,0,13,48,0
output_RIDDLES_20250611_143027_18.txt,99,0,67,32,0
output_RIDDLES_20250611_143036_19.txt,225,0,148,77,0
output_RIDDLES_20250611_143040_20.txt,7,0,4,2,1
output_RIDDLES_20250611_143046_21.txt,78,0,43,35,0
output_RIDDLES_20250611_143050_22.txt,13,0,9,4,0
output_RIDDLES_20250611_143056_23.txt,107,0,58,48,1
output_RIDDLES_20250611_143100_24.txt,12,0,9,3,0
output_RIDDLES_20250611_143105_25.txt,5,0,2,3,0
output_RIDDLES_20250611_143109_26.txt,7,0,7,0,0
output_RIDDLES_20250611_143114_27.txt,37,0,24,13,0
output_RIDDLES_20250611_143120_28.txt,44,0,21,18,5
output_RIDDLES_20250611_143125_29.txt,8,0,5,3,0
output_RIDDLES_20250611_143129_30.txt,18,0,8,10,0
