filename,total_words,english_only,danish_only,ambiguous,neither
output_CREATIVE PROMPTS_20250610_180253_1.txt,691,0,433,252,6
output_CREATIVE PROMPTS_20250610_180305_2.txt,403,0,243,159,1
output_CREATIVE PROMPTS_20250610_180322_3.txt,614,9,336,263,6
output_CREATIVE PROMPTS_20250610_180330_4.txt,220,0,133,87,0
output_CREATIVE PROMPTS_20250610_180342_5.txt,334,0,212,122,0
output_CREATIVE PROMPTS_20250610_180350_1.txt,485,8,290,181,6
output_CREATIVE PROMPTS_20250610_180356_6.txt,337,0,192,135,10
output_CREATIVE PROMPTS_20250610_180404_2.txt,492,0,311,180,1
output_CREATIVE PROMPTS_20250610_180415_7.txt,721,27,404,262,28
output_CREATIVE PROMPTS_20250610_180423_3.txt,660,17,359,274,10
output_CREATIVE PROMPTS_20250610_180426_8.txt,298,2,167,127,2
output_CREATIVE PROMPTS_20250610_180432_4.txt,295,0,183,112,0
output_CREATIVE PROMPTS_20250610_180439_9.txt,374,0,227,147,0
output_CREATIVE PROMPTS_20250610_180443_5.txt,227,3,152,68,4
output_CREATIVE PROMPTS_20250610_180450_10.txt,319,1,200,118,0
output_CREATIVE PROMPTS_20250610_180457_6.txt,366,6,209,150,1
output_CREATIVE PROMPTS_20250610_180458_11.txt,180,0,109,71,0
output_CREATIVE PROMPTS_20250610_180512_12.txt,415,0,253,162,0
output_CREATIVE PROMPTS_20250610_180515_7.txt,627,21,358,222,26
output_CREATIVE PROMPTS_20250610_180526_8.txt,281,0,168,113,0
output_CREATIVE PROMPTS_20250610_180529_13.txt,536,2,322,211,1
output_CREATIVE PROMPTS_20250610_180539_9.txt,428,4,233,178,13
output_CREATIVE PROMPTS_20250610_180543_14.txt,488,0,306,182,0
output_CREATIVE PROMPTS_20250610_180549_10.txt,272,2,168,100,2
output_CREATIVE PROMPTS_20250610_180553_15.txt,358,0,213,144,1
output_CREATIVE PROMPTS_20250610_180600_11.txt,271,0,166,105,0
output_CREATIVE PROMPTS_20250610_180601_16.txt,121,0,66,55,0
output_CREATIVE PROMPTS_20250610_180623_17.txt,490,0,313,174,3
output_CREATIVE PROMPTS_20250610_180625_12.txt,464,0,264,198,2
output_CREATIVE PROMPTS_20250610_180641_18.txt,602,1,374,226,1
output_CREATIVE PROMPTS_20250610_180645_13.txt,752,9,443,297,3
output_CREATIVE PROMPTS_20250610_180649_19.txt,226,132,2,77,15
output_CREATIVE PROMPTS_20250610_180702_14.txt,729,0,406,322,1
output_CREATIVE PROMPTS_20250610_180703_20.txt,518,0,300,217,1
output_CREATIVE PROMPTS_20250610_180713_21.txt,251,0,139,110,2
output_CREATIVE PROMPTS_20250610_180716_15.txt,501,0,312,189,0
output_CREATIVE PROMPTS_20250610_180718_22.txt,42,0,24,18,0
output_CREATIVE PROMPTS_20250610_180722_16.txt,118,0,63,55,0
output_CREATIVE PROMPTS_20250610_180733_23.txt,416,1,269,143,3
output_CREATIVE PROMPTS_20250610_180743_17.txt,480,12,311,152,5
output_CREATIVE PROMPTS_20250610_180747_24.txt,352,4,195,144,9
output_CREATIVE PROMPTS_20250610_180757_25.txt,317,3,177,135,2
output_CREATIVE PROMPTS_20250610_180759_18.txt,554,0,317,235,2
output_CREATIVE PROMPTS_20250610_180809_19.txt,206,4,117,85,0
output_CREATIVE PROMPTS_20250610_180830_20.txt,410,3,250,149,8
output_CREATIVE PROMPTS_20250610_180832_26.txt,567,0,379,184,4
output_CREATIVE PROMPTS_20250610_180840_21.txt,244,0,136,106,2
output_CREATIVE PROMPTS_20250610_180845_22.txt,45,0,27,18,0
output_CREATIVE PROMPTS_20250610_180846_27.txt,377,5,232,135,5
output_CREATIVE PROMPTS_20250610_180858_23.txt,386,1,227,153,5
output_CREATIVE PROMPTS_20250610_180905_28.txt,484,0,287,192,5
output_CREATIVE PROMPTS_20250610_180912_24.txt,374,2,204,163,5
output_CREATIVE PROMPTS_20250610_180914_29.txt,243,0,145,98,0
output_CREATIVE PROMPTS_20250610_180924_30.txt,212,0,136,76,0
output_CREATIVE PROMPTS_20250610_180929_25.txt,402,0,245,156,1
output_CREATIVE PROMPTS_20250610_180948_26.txt,617,0,375,231,11
output_CREATIVE PROMPTS_20250610_181002_27.txt,385,2,240,134,9
output_CREATIVE PROMPTS_20250610_181018_28.txt,453,2,274,171,6
output_CREATIVE PROMPTS_20250610_181029_29.txt,287,0,167,120,0
output_CREATIVE PROMPTS_20250610_181039_30.txt,308,0,191,114,3
output_CREATIVE PROMPTS_20250610_182756_1.txt,650,1,392,241,16
output_CREATIVE PROMPTS_20250610_182809_2.txt,396,0,237,158,1
