filename,total_words,english_only,danish_only,ambiguous,neither
output_MULTIPLE_DISCIPLINES_20250610_181646_1.txt,636,0,403,222,11
output_MULTIPLE_DISCIPLINES_20250610_181704_2.txt,534,1,331,192,10
output_MULTIPLE_DISCIPLINES_20250610_181717_3.txt,483,5,302,162,14
output_MULTIPLE_DISCIPLINES_20250610_181735_4.txt,648,0,414,214,20
output_MULTIPLE_DISCIPLINES_20250610_181809_1.txt,501,1,314,171,15
output_MULTIPLE_DISCIPLINES_20250610_181827_2.txt,547,0,351,187,9
output_MULTIPLE_DISCIPLINES_20250610_181843_3.txt,505,4,328,154,19
output_MULTIPLE_DISCIPLINES_20250610_181859_4.txt,534,0,341,186,7
output_MULTIPLE_DISCIPLINES_20250610_184149_1.txt,584,0,364,213,7
output_MULTIPLE_DISCIPLINES_20250610_184207_2.txt,563,1,351,191,20
output_MULTIPLE_DISCIPLINES_20250610_184221_3.txt,528,4,343,173,8
output_MULTIPLE_DISCIPLINES_20250610_184240_4.txt,669,0,440,220,9
output_MULTIPLE_DISCIPLINES_20250610_184301_1.txt,595,0,376,204,15
output_MULTIPLE_DISCIPLINES_20250610_184322_2.txt,643,1,405,219,18
output_MULTIPLE_DISCIPLINES_20250610_184337_3.txt,610,7,396,194,13
output_MULTIPLE_DISCIPLINES_20250610_184354_4.txt,594,2,368,214,10
output_MULTIPLE_DISCIPLINES_20250610_184528_1.txt,643,0,404,222,17
output_MULTIPLE_DISCIPLINES_20250610_184546_2.txt,543,0,336,196,11
output_MULTIPLE_DISCIPLINES_20250610_184602_3.txt,641,9,402,217,13
output_MULTIPLE_DISCIPLINES_20250610_184620_4.txt,558,0,354,180,24
output_MULTIPLE_DISCIPLINES_20250610_190604_1.txt,515,1,345,158,11
output_MULTIPLE_DISCIPLINES_20250610_190622_2.txt,582,1,352,214,15
output_MULTIPLE_DISCIPLINES_20250610_190636_3.txt,481,6,300,169,6
output_MULTIPLE_DISCIPLINES_20250610_190655_4.txt,662,0,418,218,26
output_MULTIPLE_DISCIPLINES_20250610_190708_1.txt,479,0,300,166,13
output_MULTIPLE_DISCIPLINES_20250610_190725_2.txt,451,1,272,163,15
output_MULTIPLE_DISCIPLINES_20250610_190742_3.txt,654,3,429,217,5
output_MULTIPLE_DISCIPLINES_20250610_190757_4.txt,516,1,318,179,18
output_MULTIPLE_DISCIPLINES_20250610_191004_1.txt,589,0,385,183,21
output_MULTIPLE_DISCIPLINES_20250610_191024_2.txt,605,1,385,202,17
output_MULTIPLE_DISCIPLINES_20250610_191039_3.txt,545,5,337,186,17
output_MULTIPLE_DISCIPLINES_20250610_191056_4.txt,592,0,363,215,14
output_MULTIPLE_DISCIPLINES_20250610_193004_1.txt,515,0,315,189,11
output_MULTIPLE_DISCIPLINES_20250610_193023_2.txt,587,0,366,206,15
output_MULTIPLE_DISCIPLINES_20250610_193039_3.txt,536,8,362,158,8
output_MULTIPLE_DISCIPLINES_20250610_193055_4.txt,628,1,393,221,13
output_MULTIPLE_DISCIPLINES_20250610_193141_1.txt,568,0,340,202,26
output_MULTIPLE_DISCIPLINES_20250610_193159_2.txt,541,0,334,190,17
output_MULTIPLE_DISCIPLINES_20250610_193214_3.txt,568,9,371,178,10
output_MULTIPLE_DISCIPLINES_20250610_193230_4.txt,570,4,360,196,10
output_MULTIPLE_DISCIPLINES_20250610_193500_1.txt,480,0,311,146,23
output_MULTIPLE_DISCIPLINES_20250610_193518_2.txt,585,0,352,221,12
output_MULTIPLE_DISCIPLINES_20250610_193535_3.txt,552,8,366,170,8
output_MULTIPLE_DISCIPLINES_20250610_193553_4.txt,634,0,396,225,13
output_MULTIPLE_DISCIPLINES_20250610_195418_1.txt,559,0,363,181,15
output_MULTIPLE_DISCIPLINES_20250610_195434_2.txt,508,1,308,186,13
output_MULTIPLE_DISCIPLINES_20250610_195448_3.txt,478,3,304,162,9
output_MULTIPLE_DISCIPLINES_20250610_195505_4.txt,633,1,388,233,11
output_MULTIPLE_DISCIPLINES_20250610_195616_1.txt,543,1,347,174,21
output_MULTIPLE_DISCIPLINES_20250610_195635_2.txt,620,0,395,211,14
output_MULTIPLE_DISCIPLINES_20250610_195649_3.txt,530,7,320,191,12
output_MULTIPLE_DISCIPLINES_20250610_195705_4.txt,550,0,341,190,19
output_MULTIPLE_DISCIPLINES_20250610_195921_1.txt,593,0,359,221,13
output_MULTIPLE_DISCIPLINES_20250610_195941_2.txt,663,1,409,239,14
output_MULTIPLE_DISCIPLINES_20250610_195956_3.txt,558,9,333,211,5
output_MULTIPLE_DISCIPLINES_20250610_200018_4.txt,710,0,431,259,20
output_MULTIPLE_DISCIPLINES_20250610_201827_1.txt,528,0,327,193,8
output_MULTIPLE_DISCIPLINES_20250610_201844_2.txt,464,0,273,183,8
output_MULTIPLE_DISCIPLINES_20250610_201859_3.txt,578,7,372,187,12
output_MULTIPLE_DISCIPLINES_20250610_201916_4.txt,571,2,349,209,11
output_MULTIPLE_DISCIPLINES_20250610_202049_1.txt,506,0,321,180,5
output_MULTIPLE_DISCIPLINES_20250610_202105_2.txt,533,0,318,191,24
output_MULTIPLE_DISCIPLINES_20250610_202122_3.txt,618,5,408,190,15
output_MULTIPLE_DISCIPLINES_20250610_202139_4.txt,601,1,379,205,16
output_MULTIPLE_DISCIPLINES_20250610_202355_1.txt,493,1,322,156,14
output_MULTIPLE_DISCIPLINES_20250610_202415_2.txt,684,0,420,247,17
output_MULTIPLE_DISCIPLINES_20250610_202429_3.txt,470,5,312,144,9
output_MULTIPLE_DISCIPLINES_20250610_202447_4.txt,683,0,454,213,16
output_MULTIPLE_DISCIPLINES_20250610_204516_1.txt,678,0,446,217,15
output_MULTIPLE_DISCIPLINES_20250610_204535_2.txt,614,1,379,215,19
output_MULTIPLE_DISCIPLINES_20250610_204552_3.txt,591,8,377,196,10
output_MULTIPLE_DISCIPLINES_20250610_204607_4.txt,531,0,337,186,8
output_MULTIPLE_DISCIPLINES_20250610_204812_1.txt,568,0,348,199,21
output_MULTIPLE_DISCIPLINES_20250610_204829_2.txt,526,0,319,191,16
output_MULTIPLE_DISCIPLINES_20250610_204845_3.txt,507,8,324,165,10
output_MULTIPLE_DISCIPLINES_20250610_204901_4.txt,610,0,387,199,24
