filename,total_words,english_only,danish_only,ambiguous,neither
output_NON_STEM_20250610_181749_1.txt,446,2,283,157,4
output_NON_STEM_20250610_181802_2.txt,454,1,272,147,34
output_NON_STEM_20250610_181816_3.txt,416,0,257,151,8
output_NON_STEM_20250610_181827_4.txt,406,0,266,140,0
output_NON_STEM_20250610_181843_5.txt,732,8,447,252,25
output_NON_STEM_20250610_181855_6.txt,454,0,282,170,2
output_NON_STEM_20250610_181911_7.txt,602,0,377,223,2
output_NON_STEM_20250610_181915_1.txt,576,0,358,212,6
output_NON_STEM_20250610_181928_2.txt,503,1,286,178,38
output_NON_STEM_20250610_181931_8.txt,843,0,517,322,4
output_NON_STEM_20250610_181941_3.txt,464,0,296,164,4
output_NON_STEM_20250610_181945_9.txt,453,0,267,184,2
output_NON_STEM_20250610_181953_4.txt,492,1,312,177,2
output_NON_STEM_20250610_181959_10.txt,531,0,319,208,4
output_NON_STEM_20250610_182011_5.txt,657,0,434,216,7
output_NON_STEM_20250610_182013_11.txt,531,0,316,212,3
output_NON_STEM_20250610_182025_6.txt,579,0,350,226,3
output_NON_STEM_20250610_182032_12.txt,733,5,452,255,21
output_NON_STEM_20250610_182042_7.txt,654,1,424,224,5
output_NON_STEM_20250610_182046_13.txt,473,6,268,178,21
output_NON_STEM_20250610_182058_8.txt,605,0,392,206,7
output_NON_STEM_20250610_182106_14.txt,701,6,438,237,20
output_NON_STEM_20250610_182112_9.txt,493,0,296,193,4
output_NON_STEM_20250610_182118_15.txt,413,0,244,167,2
output_NON_STEM_20250610_182128_10.txt,584,0,354,226,4
output_NON_STEM_20250610_182143_11.txt,569,0,351,214,4
output_NON_STEM_20250610_182202_12.txt,755,3,450,284,18
output_NON_STEM_20250610_182221_13.txt,364,3,220,121,20
output_NON_STEM_20250610_182245_14.txt,783,7,492,261,23
output_NON_STEM_20250610_182258_15.txt,475,0,289,182,4
output_NON_STEM_20250610_184255_1.txt,545,3,326,209,7
output_NON_STEM_20250610_184307_2.txt,442,1,262,155,24
output_NON_STEM_20250610_184321_3.txt,469,1,300,165,3
output_NON_STEM_20250610_184335_4.txt,441,0,290,150,1
output_NON_STEM_20250610_184348_5.txt,520,0,336,177,7
output_NON_STEM_20250610_184401_6.txt,541,0,335,198,8
output_NON_STEM_20250610_184408_1.txt,459,0,301,147,11
output_NON_STEM_20250610_184417_7.txt,702,2,445,250,5
output_NON_STEM_20250610_184421_2.txt,410,1,244,138,27
output_NON_STEM_20250610_184434_3.txt,444,0,265,178,1
output_NON_STEM_20250610_184434_8.txt,713,0,447,260,6
output_NON_STEM_20250610_184447_4.txt,521,2,341,177,1
output_NON_STEM_20250610_184448_9.txt,490,1,305,179,5
output_NON_STEM_20250610_184502_5.txt,533,2,348,175,8
output_NON_STEM_20250610_184503_10.txt,515,0,307,205,3
output_NON_STEM_20250610_184517_6.txt,587,1,392,189,5
output_NON_STEM_20250610_184518_11.txt,569,0,343,220,6
output_NON_STEM_20250610_184533_7.txt,687,1,423,261,2
output_NON_STEM_20250610_184539_12.txt,989,4,619,345,21
output_NON_STEM_20250610_184550_8.txt,701,0,443,251,7
output_NON_STEM_20250610_184552_13.txt,460,4,269,162,25
output_NON_STEM_20250610_184605_9.txt,542,0,324,213,5
output_NON_STEM_20250610_184608_14.txt,652,11,413,208,20
output_NON_STEM_20250610_184620_10.txt,497,0,301,192,4
output_NON_STEM_20250610_184621_15.txt,431,1,262,166,2
output_NON_STEM_20250610_184635_11.txt,636,0,368,261,7
output_NON_STEM_20250610_184636_1.txt,527,5,343,159,20
output_NON_STEM_20250610_184647_2.txt,415,1,250,139,25
output_NON_STEM_20250610_184652_12.txt,738,11,469,243,15
output_NON_STEM_20250610_184700_3.txt,528,1,325,200,2
output_NON_STEM_20250610_184705_13.txt,485,9,275,174,27
output_NON_STEM_20250610_184713_4.txt,538,0,334,202,2
output_NON_STEM_20250610_184725_14.txt,656,12,404,215,25
output_NON_STEM_20250610_184727_5.txt,555,1,351,192,11
output_NON_STEM_20250610_184738_15.txt,516,0,329,186,1
output_NON_STEM_20250610_184741_6.txt,522,0,340,179,3
output_NON_STEM_20250610_184759_7.txt,752,4,473,269,6
output_NON_STEM_20250610_184816_8.txt,663,0,419,238,6
output_NON_STEM_20250610_184829_9.txt,463,1,301,159,2
output_NON_STEM_20250610_184846_10.txt,570,0,355,208,7
output_NON_STEM_20250610_184900_11.txt,564,0,337,221,6
output_NON_STEM_20250610_184918_12.txt,692,5,427,248,12
output_NON_STEM_20250610_184929_13.txt,380,6,223,133,18
output_NON_STEM_20250610_184945_14.txt,596,4,366,203,23
output_NON_STEM_20250610_184958_15.txt,446,0,277,167,2
output_NON_STEM_20250610_190709_1.txt,567,0,355,206,6
output_NON_STEM_20250610_190722_2.txt,450,1,280,140,29
output_NON_STEM_20250610_190736_3.txt,542,1,326,210,5
output_NON_STEM_20250610_190749_4.txt,495,0,290,201,4
output_NON_STEM_20250610_190802_5.txt,549,0,353,193,3
output_NON_STEM_20250610_190814_1.txt,614,2,381,218,13
output_NON_STEM_20250610_190817_6.txt,578,0,367,209,2
output_NON_STEM_20250610_190828_2.txt,491,0,297,164,30
output_NON_STEM_20250610_190832_7.txt,573,3,363,204,3
output_NON_STEM_20250610_190846_3.txt,711,3,437,268,3
output_NON_STEM_20250610_190847_8.txt,631,0,402,225,4
output_NON_STEM_20250610_190858_4.txt,453,0,287,164,2
output_NON_STEM_20250610_190902_9.txt,645,1,402,233,9
output_NON_STEM_20250610_190915_5.txt,700,0,459,235,6
output_NON_STEM_20250610_190916_10.txt,518,0,316,200,2
output_NON_STEM_20250610_190930_6.txt,550,0,342,205,3
output_NON_STEM_20250610_190931_11.txt,574,0,353,216,5
output_NON_STEM_20250610_190945_7.txt,552,2,327,217,6
output_NON_STEM_20250610_190948_12.txt,677,9,419,231,18
output_NON_STEM_20250610_191002_13.txt,496,6,283,176,31
output_NON_STEM_20250610_191003_8.txt,756,0,464,286,6
output_NON_STEM_20250610_191017_9.txt,481,0,290,181,10
output_NON_STEM_20250610_191019_14.txt,665,4,427,210,24
output_NON_STEM_20250610_191034_10.txt,624,0,382,239,3
output_NON_STEM_20250610_191034_15.txt,540,0,331,208,1
output_NON_STEM_20250610_191047_11.txt,575,0,360,210,5
output_NON_STEM_20250610_191104_12.txt,649,0,410,227,12
output_NON_STEM_20250610_191113_1.txt,586,4,367,206,9
output_NON_STEM_20250610_191117_13.txt,416,5,244,148,19
output_NON_STEM_20250610_191126_2.txt,499,0,305,165,29
output_NON_STEM_20250610_191134_14.txt,643,4,397,221,21
output_NON_STEM_20250610_191143_3.txt,638,0,409,224,5
output_NON_STEM_20250610_191149_15.txt,565,0,331,233,1
output_NON_STEM_20250610_191154_4.txt,424,1,275,145,3
output_NON_STEM_20250610_191209_5.txt,549,1,367,177,4
output_NON_STEM_20250610_191222_6.txt,520,0,333,185,2
output_NON_STEM_20250610_191238_7.txt,635,2,396,228,9
output_NON_STEM_20250610_191252_8.txt,590,0,388,200,2
output_NON_STEM_20250610_191306_9.txt,497,0,299,193,5
output_NON_STEM_20250610_191322_10.txt,586,0,354,230,2
output_NON_STEM_20250610_191338_11.txt,718,0,432,278,8
output_NON_STEM_20250610_191354_12.txt,708,9,431,253,15
output_NON_STEM_20250610_191410_13.txt,584,12,341,205,26
output_NON_STEM_20250610_191429_14.txt,730,8,444,259,19
output_NON_STEM_20250610_191442_15.txt,479,0,286,192,1
output_NON_STEM_20250610_193109_1.txt,446,0,276,166,4
output_NON_STEM_20250610_193121_2.txt,385,0,232,130,23
output_NON_STEM_20250610_193138_3.txt,567,0,351,209,7
output_NON_STEM_20250610_193149_4.txt,418,0,272,145,1
output_NON_STEM_20250610_193205_5.txt,613,0,405,202,6
output_NON_STEM_20250610_193218_6.txt,520,0,336,183,1
output_NON_STEM_20250610_193234_7.txt,611,1,357,246,7
output_NON_STEM_20250610_193246_1.txt,577,2,356,214,5
output_NON_STEM_20250610_193248_8.txt,607,0,377,224,6
output_NON_STEM_20250610_193258_2.txt,493,1,291,163,38
output_NON_STEM_20250610_193302_9.txt,457,0,285,168,4
output_NON_STEM_20250610_193311_3.txt,476,0,278,197,1
output_NON_STEM_20250610_193318_10.txt,551,0,328,220,3
output_NON_STEM_20250610_193323_4.txt,491,0,287,202,2
output_NON_STEM_20250610_193332_11.txt,556,0,359,193,4
output_NON_STEM_20250610_193339_5.txt,668,0,422,239,7
output_NON_STEM_20250610_193349_12.txt,706,3,419,251,33
