filename,total_words,english_only,danish_only,ambiguous,neither
output_RIDDLES_20250610_182123_1.txt,2,0,1,1,0
output_RIDDLES_20250610_182132_2.txt,208,0,123,81,4
output_RIDDLES_20250610_182138_3.txt,87,1,47,38,1
output_RIDDLES_20250610_182144_4.txt,47,0,28,19,0
output_RIDDLES_20250610_182157_5.txt,396,0,259,133,4
output_RIDDLES_20250610_182205_6.txt,161,0,111,49,1
output_RIDDLES_20250610_182211_7.txt,50,0,25,25,0
output_RIDDLES_20250610_182216_8.txt,69,0,42,26,1
output_RIDDLES_20250610_182223_9.txt,49,0,30,17,2
output_RIDDLES_20250610_182228_10.txt,13,0,9,4,0
output_RIDDLES_20250610_182233_11.txt,25,0,19,6,0
output_RIDDLES_20250610_182237_12.txt,16,0,10,6,0
output_RIDDLES_20250610_182247_13.txt,295,1,178,107,9
output_RIDDLES_20250610_182253_14.txt,47,0,32,15,0
output_RIDDLES_20250610_182300_15.txt,130,0,62,68,0
output_RIDDLES_20250610_182303_1.txt,11,0,8,3,0
output_RIDDLES_20250610_182305_16.txt,30,0,21,9,0
output_RIDDLES_20250610_182310_2.txt,110,0,64,44,2
output_RIDDLES_20250610_182311_17.txt,51,0,21,29,1
output_RIDDLES_20250610_182316_3.txt,75,2,36,29,8
output_RIDDLES_20250610_182321_18.txt,332,0,188,144,0
output_RIDDLES_20250610_182321_4.txt,61,0,35,26,0
output_RIDDLES_20250610_182334_5.txt,309,0,174,135,0
output_RIDDLES_20250610_182335_19.txt,467,0,300,164,3
output_RIDDLES_20250610_182339_20.txt,9,0,6,3,0
output_RIDDLES_20250610_182340_6.txt,132,0,85,47,0
output_RIDDLES_20250610_182344_21.txt,52,0,31,21,0
output_RIDDLES_20250610_182346_7.txt,52,0,28,24,0
output_RIDDLES_20250610_182350_22.txt,37,0,17,15,5
output_RIDDLES_20250610_182352_8.txt,88,0,58,30,0
output_RIDDLES_20250610_182355_23.txt,7,1,3,3,0
output_RIDDLES_20250610_182359_24.txt,19,0,12,7,0
output_RIDDLES_20250610_182401_9.txt,93,8,45,38,2
output_RIDDLES_20250610_182404_25.txt,7,0,3,4,0
output_RIDDLES_20250610_182405_10.txt,12,0,7,5,0
output_RIDDLES_20250610_182410_26.txt,99,0,68,31,0
output_RIDDLES_20250610_182411_11.txt,49,0,34,15,0
output_RIDDLES_20250610_182415_12.txt,10,0,6,4,0
output_RIDDLES_20250610_182420_27.txt,262,0,151,101,10
output_RIDDLES_20250610_182425_13.txt,278,2,156,105,15
output_RIDDLES_20250610_182427_28.txt,76,2,38,29,7
output_RIDDLES_20250610_182430_14.txt,51,0,30,21,0
output_RIDDLES_20250610_182432_29.txt,37,0,21,16,0
output_RIDDLES_20250610_182437_30.txt,23,0,10,13,0
output_RIDDLES_20250610_182439_15.txt,239,0,104,135,0
output_RIDDLES_20250610_182446_16.txt,78,0,52,26,0
output_RIDDLES_20250610_182451_17.txt,80,2,15,45,18
output_RIDDLES_20250610_182500_18.txt,242,0,146,95,1
output_RIDDLES_20250610_182512_19.txt,409,2,256,149,2
output_RIDDLES_20250610_182517_20.txt,7,0,3,4,0
output_RIDDLES_20250610_182524_21.txt,161,0,94,67,0
output_RIDDLES_20250610_182529_22.txt,30,0,11,15,4
output_RIDDLES_20250610_182537_23.txt,183,0,110,70,3
output_RIDDLES_20250610_182542_24.txt,13,0,7,6,0
output_RIDDLES_20250610_182547_25.txt,5,0,2,3,0
output_RIDDLES_20250610_182553_26.txt,100,0,71,29,0
output_RIDDLES_20250610_182603_27.txt,223,0,131,84,8
output_RIDDLES_20250610_182609_28.txt,65,0,40,20,5
output_RIDDLES_20250610_182614_29.txt,15,0,12,3,0
output_RIDDLES_20250610_182619_30.txt,11,0,4,7,0
output_RIDDLES_20250610_184626_1.txt,11,0,8,3,0
output_RIDDLES_20250610_184633_2.txt,148,1,89,57,1
output_RIDDLES_20250610_184638_3.txt,23,0,11,12,0
output_RIDDLES_20250610_184643_4.txt,52,0,30,22,0
output_RIDDLES_20250610_184655_5.txt,329,0,201,127,1
output_RIDDLES_20250610_184702_6.txt,167,0,110,56,1
output_RIDDLES_20250610_184708_7.txt,65,0,36,29,0
output_RIDDLES_20250610_184714_8.txt,85,0,54,31,0
output_RIDDLES_20250610_184723_9.txt,102,3,62,37,0
