filename,total_words,english_only,danish_only,ambiguous,neither,prop_english_only,prop_danish_only,prop_ambiguous,prop_neither
output_CREATIVE PROMPTS_20250611_124709_1.txt,282,2,180,93,7,0.0070921985815602835,0.6382978723404256,0.32978723404255317,0.024822695035460994
output_CREATIVE PROMPTS_20250611_124718_2.txt,250,0,148,102,0,0.0,0.592,0.408,0.0
output_CREATIVE PROMPTS_20250611_124727_3.txt,342,0,174,167,1,0.0,0.5087719298245614,0.48830409356725146,0.0029239766081871343
output_CREATIVE PROMPTS_20250611_124734_4.txt,207,1,116,89,1,0.004830917874396135,0.5603864734299517,0.42995169082125606,0.004830917874396135
output_CREATIVE PROMPTS_20250611_124741_5.txt,95,0,57,35,3,0.0,0.6,0.3684210526315789,0.031578947368421054
output_CREATIVE PROMPTS_20250611_124751_6.txt,237,3,121,111,2,0.012658227848101266,0.510548523206751,0.46835443037974683,0.008438818565400843
output_CREATIVE PROMPTS_20250611_124800_7.txt,327,7,192,114,14,0.021406727828746176,0.5871559633027523,0.3486238532110092,0.04281345565749235
output_CREATIVE PROMPTS_20250611_124809_8.txt,218,0,130,87,1,0.0,0.5963302752293578,0.39908256880733944,0.0045871559633027525
output_CREATIVE PROMPTS_20250611_124817_9.txt,244,0,146,97,1,0.0,0.5983606557377049,0.3975409836065574,0.004098360655737705
output_CREATIVE PROMPTS_20250611_124824_10.txt,208,1,124,80,3,0.004807692307692308,0.5961538461538461,0.38461538461538464,0.014423076923076924
output_CREATIVE PROMPTS_20250611_124831_11.txt,151,0,92,59,0,0.0,0.609271523178808,0.39072847682119205,0.0
output_CREATIVE PROMPTS_20250611_124839_12.txt,234,0,137,96,1,0.0,0.5854700854700855,0.41025641025641024,0.004273504273504274
output_CREATIVE PROMPTS_20250611_124849_13.txt,308,0,185,107,16,0.0,0.6006493506493507,0.3474025974025974,0.05194805194805195
output_CREATIVE PROMPTS_20250611_124859_14.txt,406,0,251,155,0,0.0,0.6182266009852216,0.3817733990147783,0.0
output_CREATIVE PROMPTS_20250611_124907_15.txt,285,0,186,99,0,0.0,0.6526315789473685,0.3473684210526316,0.0
output_CREATIVE PROMPTS_20250611_124913_16.txt,81,2,35,36,8,0.024691358024691357,0.43209876543209874,0.4444444444444444,0.09876543209876543
output_CREATIVE PROMPTS_20250611_124924_17.txt,308,4,182,115,7,0.012987012987012988,0.5909090909090909,0.37337662337662336,0.022727272727272728
output_CREATIVE PROMPTS_20250611_124933_18.txt,333,0,211,119,3,0.0,0.6336336336336337,0.35735735735735735,0.009009009009009009
output_CREATIVE PROMPTS_20250611_124941_19.txt,152,22,40,23,67,0.14473684210526316,0.2631578947368421,0.1513157894736842,0.4407894736842105
output_CREATIVE PROMPTS_20250611_124950_20.txt,254,0,152,102,0,0.0,0.5984251968503937,0.4015748031496063,0.0
output_CREATIVE PROMPTS_20250611_124957_21.txt,134,0,92,41,1,0.0,0.6865671641791045,0.30597014925373134,0.007462686567164179
output_CREATIVE PROMPTS_20250611_125003_22.txt,163,0,100,63,0,0.0,0.6134969325153374,0.38650306748466257,0.0
output_CREATIVE PROMPTS_20250611_125011_23.txt,237,0,146,90,1,0.0,0.6160337552742616,0.379746835443038,0.004219409282700422
output_CREATIVE PROMPTS_20250611_125020_24.txt,258,2,153,97,6,0.007751937984496124,0.5930232558139535,0.375968992248062,0.023255813953488372
output_CREATIVE PROMPTS_20250611_125027_25.txt,198,0,124,71,3,0.0,0.6262626262626263,0.35858585858585856,0.015151515151515152
output_CREATIVE PROMPTS_20250611_125038_26.txt,311,0,208,96,7,0.0,0.6688102893890675,0.3086816720257235,0.022508038585209004
