filename,total_words,english_only,danish_only,ambiguous,neither,prop_english_only,prop_danish_only,prop_ambiguous,prop_neither
output_FAQ_20250610_180942_1.txt,598,10,367,207,14,0.016722408026755852,0.6137123745819398,0.34615384615384615,0.023411371237458192
output_FAQ_20250610_180954_2.txt,370,0,243,123,4,0.0,0.6567567567567567,0.3324324324324324,0.010810810810810811
output_FAQ_20250610_181009_3.txt,605,0,369,234,2,0.0,0.6099173553719008,0.3867768595041322,0.003305785123966942
output_FAQ_20250610_181025_4.txt,630,0,378,244,8,0.0,0.6,0.3873015873015873,0.012698412698412698
output_FAQ_20250610_181037_5.txt,323,6,184,113,20,0.018575851393188854,0.5696594427244582,0.3498452012383901,0.06191950464396285
output_FAQ_20250610_181053_6.txt,539,11,270,223,35,0.02040816326530612,0.5009276437847866,0.4137291280148423,0.06493506493506493
output_FAQ_20250610_181057_1.txt,587,9,376,192,10,0.015332197614991482,0.6405451448040886,0.3270868824531516,0.017035775127768313
output_FAQ_20250610_181110_7.txt,414,6,230,159,19,0.014492753623188406,0.5555555555555556,0.38405797101449274,0.04589371980676329
output_FAQ_20250610_181112_2.txt,357,0,245,102,10,0.0,0.6862745098039216,0.2857142857142857,0.028011204481792718
output_FAQ_20250610_181126_3.txt,552,0,318,232,2,0.0,0.5760869565217391,0.42028985507246375,0.0036231884057971015
output_FAQ_20250610_181126_8.txt,605,1,375,212,17,0.001652892561983471,0.6198347107438017,0.3504132231404959,0.02809917355371901
output_FAQ_20250610_181138_9.txt,258,6,142,102,8,0.023255813953488372,0.5503875968992248,0.3953488372093023,0.031007751937984496
output_FAQ_20250610_181142_4.txt,560,0,337,216,7,0.0,0.6017857142857143,0.38571428571428573,0.0125
output_FAQ_20250610_181151_10.txt,404,1,233,157,13,0.0024752475247524753,0.5767326732673267,0.3886138613861386,0.03217821782178218
output_FAQ_20250610_181157_5.txt,439,4,270,136,29,0.009111617312072893,0.6150341685649203,0.3097949886104784,0.06605922551252848
output_FAQ_20250610_181209_11.txt,651,0,404,241,6,0.0,0.620583717357911,0.37019969278033793,0.009216589861751152
output_FAQ_20250610_181214_6.txt,537,12,280,212,33,0.0223463687150838,0.521415270018622,0.3947858472998138,0.061452513966480445
output_FAQ_20250610_181226_12.txt,467,2,237,190,38,0.004282655246252677,0.5074946466809421,0.4068522483940043,0.08137044967880086
output_FAQ_20250610_181231_7.txt,409,4,230,159,16,0.009779951100244499,0.5623471882640587,0.38875305623471884,0.039119804400977995
output_FAQ_20250610_181245_13.txt,715,0,435,280,0,0.0,0.6083916083916084,0.3916083916083916,0.0
output_FAQ_20250610_181247_8.txt,573,3,350,207,13,0.005235602094240838,0.6108202443280978,0.3612565445026178,0.02268760907504363
output_FAQ_20250610_181255_9.txt,141,8,79,51,3,0.05673758865248227,0.5602836879432624,0.3617021276595745,0.02127659574468085
output_FAQ_20250610_181304_14.txt,635,0,388,239,8,0.0,0.6110236220472441,0.3763779527559055,0.012598425196850394
output_FAQ_20250610_181315_10.txt,367,0,208,151,8,0.0,0.5667574931880109,0.4114441416893733,0.021798365122615803
output_FAQ_20250610_181321_15.txt,475,0,279,191,5,0.0,0.5873684210526315,0.40210526315789474,0.010526315789473684
output_FAQ_20250610_181332_11.txt,566,0,338,226,2,0.0,0.5971731448763251,0.3992932862190813,0.0035335689045936395
output_FAQ_20250610_181338_16.txt,630,0,422,207,1,0.0,0.6698412698412698,0.32857142857142857,0.0015873015873015873
output_FAQ_20250610_181350_12.txt,466,1,225,205,35,0.002145922746781116,0.48283261802575106,0.43991416309012876,0.07510729613733906
output_FAQ_20250610_181353_17.txt,598,0,362,228,8,0.0,0.6053511705685619,0.38127090301003347,0.013377926421404682
output_FAQ_20250610_181408_18.txt,521,1,314,178,28,0.0019193857965451055,0.6026871401151631,0.3416506717850288,0.053742802303262956
output_FAQ_20250610_181409_13.txt,669,0,377,286,6,0.0,0.5635276532137519,0.42750373692077726,0.008968609865470852
output_FAQ_20250610_181425_14.txt,528,0,298,219,11,0.0,0.5643939393939394,0.4147727272727273,0.020833333333333332
output_FAQ_20250610_181425_19.txt,665,0,442,219,4,0.0,0.6646616541353384,0.3293233082706767,0.006015037593984963
output_FAQ_20250610_181440_20.txt,482,0,305,172,5,0.0,0.6327800829875518,0.35684647302904565,0.01037344398340249
output_FAQ_20250610_181442_15.txt,493,1,282,202,8,0.002028397565922921,0.5720081135902637,0.40973630831643004,0.016227180527383367
output_FAQ_20250610_181449_21.txt,239,0,146,93,0,0.0,0.6108786610878661,0.3891213389121339,0.0
output_FAQ_20250610_181458_22.txt,139,1,79,57,2,0.007194244604316547,0.5683453237410072,0.41007194244604317,0.014388489208633094
output_FAQ_20250610_181459_16.txt,753,0,488,261,4,0.0,0.648074369189907,0.3466135458167331,0.005312084993359893
output_FAQ_20250610_181509_23.txt,221,0,142,79,0,0.0,0.6425339366515838,0.3574660633484163,0.0
output_FAQ_20250610_181515_24.txt,65,0,37,27,1,0.0,0.5692307692307692,0.4153846153846154,0.015384615384615385
output_FAQ_20250610_181519_17.txt,760,0,442,313,5,0.0,0.5815789473684211,0.4118421052631579,0.006578947368421052
output_FAQ_20250610_181527_25.txt,393,0,225,167,1,0.0,0.5725190839694656,0.42493638676844786,0.002544529262086514
output_FAQ_20250610_181534_18.txt,552,2,324,187,39,0.0036231884057971015,0.5869565217391305,0.338768115942029,0.07065217391304347
output_FAQ_20250610_181540_26.txt,393,0,239,145,9,0.0,0.6081424936386769,0.36895674300254455,0.022900763358778626
output_FAQ_20250610_181549_19.txt,628,0,380,244,4,0.0,0.6050955414012739,0.3885350318471338,0.006369426751592357
output_FAQ_20250610_181551_27.txt,375,0,215,158,2,0.0,0.5733333333333334,0.42133333333333334,0.005333333333333333
output_FAQ_20250610_181604_20.txt,518,1,334,178,5,0.0019305019305019305,0.6447876447876448,0.3436293436293436,0.009652509652509652
output_FAQ_20250610_181609_28.txt,692,0,386,304,2,0.0,0.5578034682080925,0.4393063583815029,0.002890173410404624
